XCoord;YCoord;COD_REG;N_ADDRESSES_EVDSL;N_ADDRESSES_ADSL;N_ADDRESSES_VDSL;N_ADDRESSES_FTTH;SPEED_DOWN_ADSL_AVG;SPEED_DOWN_VDSL_AVG;SPEED_DOWN_EVDSL_AVG;SPEED_DOWN_GREATEST_AVG;P1;E1;E2;E3;REGIONE;PF1_SPEED_NULL;PF1_SPEED_2;PF1_SPEED_30;PF1_SPEED_100;PF1_SPEED_500;PF1_SPEED_1000;PF1;N_ADDRESSES_BROADBAND;DESI_WIDE_ADSL_PF1;DESI_WIDE_FTTC_PF1;DESI_WIDE_FTTH_PF1;SHAPE_LENGTH;SHAPE_AREA
1849273.56213094;5010976.10566074;16;1053113.000000;2257187.000000;1862791.000000;99344.000000;11.078118;77.280460;132.134935;136.989734;4052533.000000;1095022.000000;1040221.000000;947298.000000;Puglia;58647.917263;8012.390150;204080.052249;588850.321694;551707.260227;122156.058418;1533454.000000;2284149.000000;1525662.000000;1434582.000000;1191106.000000;1550829.709697;33994184799.925835
1453299.57876699;5804942.42721912;6;212290.000000;554962.000000;322696.000000;17545.000000;8.419531;60.053300;95.259033;80.223312;1214828.000000;352323.000000;339625.000000;305664.000000;Friuli Venezia Giulia;40935.389253;14431.857707;179511.782379;165537.053470;115947.902616;29346.014575;545710.000000;560105.000000;537627.000000;435397.000000;351774.000000;964065.112031;16356070115.601954
1574681.88157177;4521840.06359905;19;1804655.000000;3022718.000000;2407731.000000;230862.000000;10.657420;75.523859;129.943932;174.798803;5002895.000000;1726443.000000;1594607.000000;1431419.000000;Sicilia;104805.307704;14864.667653;328611.712052;477295.389610;786122.766145;251870.156837;1963570.000000;3039889.000000;1952941.000000;1824210.000000;1338625.000000;1678205.134445;41017293415.068619
822351.05435048;5737273.42833227;2;6086.000000;60868.000000;11451.000000;421.000000;8.764681;59.270580;106.124676;28.766152;126806.000000;58978.000000;51352.000000;43220.000000;Valle D'Aosta;3475.904646;2604.041369;36252.726225;9263.776120;7047.909638;725.642002;59370.000000;60887.000000;59239.000000;32690.000000;36174.000000;445737.022349;6689934003.376995
1087487.14342956;5720548.76265922;3;1045477.000000;3010821.000000;1714878.000000;135399.000000;9.108416;60.825279;96.905852;93.961899;9703514.000000;1774946.000000;1713081.000000;1488640.000000;Lombardia;117582.520915;66387.935404;1286020.049780;1360134.306015;747306.568791;579204.619094;4156636.000000;3022779.000000;4154615.000000;3658654.000000;2874574.000000;2016754.544177;48812032402.608009
1005339.85891795;4879911.60412230;20;236835.000000;942498.000000;414859.000000;34129.000000;11.293104;71.954979;116.648304;80.735959;1639336.000000;604234.000000;567325.000000;512310.000000;Sardegna;33290.484939;6906.632494;272733.980891;193070.631692;116296.764656;54465.505328;676764.000000;943184.000000;671985.000000;434373.000000;257737.000000;1898293.113626;41252449271.348305
1320208.66707927;5725436.39369129;5;722433.000000;2223728.000000;1323992.000000;115848.000000;8.502196;55.800878;93.721618;97.961044;4857199.000000;1227517.000000;1182115.000000;1057293.000000;Veneto;85864.700522;53522.243039;717408.194532;655467.001320;328586.841215;146129.019373;1986978.000000;2251497.000000;1983847.000000;1802131.000000;1146206.000000;1516591.433966;37649635303.360130
1542264.45479401;5195368.37051641;13;238037.000000;692142.000000;307633.000000;33801.000000;8.959619;66.915105;110.935011;97.522776;1307305.000000;434267.000000;393639.000000;348493.000000;Abruzzo;67293.354693;19934.048265;192562.240544;104880.433147;111868.891058;27508.032293;524047.000000;696257.000000;514033.000000;351042.000000;294274.000000;830044.418399;19700369303.094421
1238406.39188535;5381719.08639951;9;731698.000000;1841016.000000;1332151.000000;90174.000000;9.638617;62.237025;103.982446;108.653430;3671660.000000;890257.000000;864791.000000;733499.000000;Toscana;86019.031672;24135.907298;383213.145647;587652.273402;382563.909468;105441.732513;1569026.000000;1847043.000000;1564636.000000;1465873.000000;964026.000000;1798246.166248;43631205021.650917
969140.41938223;5506690.97526177;7;320411.000000;768691.000000;536538.000000;118699.000000;8.889282;67.127131;117.614041;222.285984;1570218.000000;314250.000000;297662.000000;263463.000000;Liguria;26488.153180;12667.507875;144824.998028;218097.478265;204657.563685;150992.298967;757728.000000;775517.000000;752515.000000;700329.000000;641362.000000;1153162.367507;10568807547.010174
