ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;1176;FAES MARIA IMMACOLATA;Scuola dell'infanzia;Ente privato laico;SI;Via GIOVANNI ANTONIO AMADEO 11;3228;3;22;CITTA' STUDI;9.23170220306;45.4710772144;(45.4710772144, 9.23170220306)
1415;1178;Porpora, 43 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via NICOLA ANTONIO PORPORA 43;2229;3;20;LORETO - CASORETTO - NOLO;9.2225179839;45.4863043618;(45.4863043618, 9.2225179839)
1415;1179;SAN GIUSEPPE;Scuola dell'infanzia;Ente religioso;SI;Via ANTONIO BAZZINI 10;2427;3;22;CITTA' STUDI;9.22526156904;45.4817951575;(45.4817951575, 9.22526156904)
1415;1180;Clericetti, 20 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CELESTE CLERICETTI 20;2221;3;22;CITTA' STUDI;9.23558641864;45.4771720428;(45.4771720428, 9.23558641864)
1415;1181;RUDOLF STEINER;Scuola dell'infanzia;Ente privato laico;No;Via CELESTE CLERICETTI 45;2221;3;22;CITTA' STUDI;9.23527388128;45.4794949543;(45.4794949543, 9.23527388128)
1415;1182;Tajani, 14 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via FILIPPO TAJANI 14;3235;3;22;CITTA' STUDI;9.23684229664;45.473099871;(45.473099871, 9.23684229664)
1415;1183;XXII Marzo, 59 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Corso VENTIDUE MARZO 59;3074;4;26;XXII MARZO;9.22257152349;45.4622961102;(45.4622961102, 9.22257152349)
1415;1184;Costa, 24 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ANDREA COSTA 24;2276;3;20;LORETO - CASORETTO - NOLO;9.2221782743;45.4883695895;(45.4883695895, 9.2221782743)
1415;1185;Cima, 17 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via OTTO E CAMILLO CIMA 17;2690;3;23;LAMBRATE - ORTICA;9.24795550235;45.4720445728;(45.4720445728, 9.24795550235)
1415;1187;Crescenzago, 47 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CRESCENZAGO 47;2396;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.24121546523;45.4898355698;(45.4898355698, 9.24121546523)
1415;1188;Feltre, 68/3 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;  68/3;;;18;CIMIANO - ROTTOLE - Q.RE FELTRE;;;
1415;1189;FONDAZIONE SACRO CUORE;Scuola dell'infanzia;Ente religioso;SI;Via ROMBON 78;2659;3;23;LAMBRATE - ORTICA;9.25215457923;45.4861791706;(45.4861791706, 9.25215457923)
1415;1190;Carnia, 32 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CARNIA 32;2395;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.23598934089;45.4950817175;(45.4950817175, 9.23598934089)
1415;1191;MARIA MATER MEA;Scuola dell'infanzia;Ente religioso;SI;Via PUSIANO 57;2397;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.24644038852;45.5005381429;(45.5005381429, 9.24644038852)
1415;1192;Narni, 16 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via NARNI 16;2541;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.24742406891;45.5021375932;(45.5021375932, 9.24742406891)
1415;1193;Pini, 2 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via TOMMASO PINI 2;2634;3;23;LAMBRATE - ORTICA;9.24101398838;45.4847220706;(45.4847220706, 9.24101398838)
1415;1195;SUORE ORSOLINE SACRA FAMIGLIA;Scuola dell'infanzia;Ente religioso;SI;Via MONFALCONE 7;2538;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.23782767934;45.4920581527;(45.4920581527, 9.23782767934)
1415;1196;Decorati V. C., 14 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via DECORATI AL VALOR CIVILE 14;3366;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.24204350531;45.4598485091;(45.4598485091, 9.24204350531)
1415;1197;Meleri, 12 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GEREMIA MELERI 12;3350;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.2472555207;45.4570380926;(45.4570380926, 9.2472555207)
1415;1198;Sordello, 14 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via LUIGI SORDELLO 14;3342;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.2444597156;45.4417516693;(45.4417516693, 9.2444597156)
1415;1199;Ucelli Di Nemi, 48 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GUIDO UCELLI DI NEMI 44;3375;4;31;MONLUE' - PONTE LAMBRO;9.26429305732;45.4388365567;(45.4388365567, 9.26429305732)
1415;1200;Ungheria, 42 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Viale UNGHERIA 42;3357;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.25185503599;45.4456764001;(45.4456764001, 9.25185503599)
1415;1202;Barabino, 2 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via NICOLO' BARABINO 2;4287;4;35;LODI - CORVETTO;9.22351330646;45.4346836491;(45.4346836491, 9.22351330646)
1415;1203;SCUOLA EUROPA;Scuola dell'infanzia;Ente privato laico;SI;Viale LUIGI MAJNO 39;2178;1;4;GUASTALLA;9.20508111111;45.4723973053;(45.4723973053, 9.20508111111)
1415;1204;TOSELLI FRANCESCO;Scuola dell'infanzia;Ente religioso;SI;Via CUORE IMMACOLATO DI MARIA 7;4248;5;38;VIGENTINO - Q.RE FATIMA;9.19687493272;45.4362998505;(45.4362998505, 9.19687493272)
1415;1205;Ghini, 8 Scuola Infanzia - temporaneamente in Via dei Bognetti, 15;Scuola dell'infanzia;Comunale;SI;Via DEI BOGNETTI 15;4246;5;37;MORIVIONE;9.18993992436;45.4380896962;(45.4380896962, 9.18993992436)
1415;1206;Monte Popera, 14 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via MONTE POPERA 14;4365;4;33;ROGOREDO - SANTA GIULIA;9.24648506713;45.4313888924;(45.4313888924, 9.24648506713)
1415;1207;MERKOS L'INYONEI CHINUCH;Scuola dell'infanzia;Ente privato laico;SI;Via DELLE FORZE ARMATE 61;6643;7;52;BANDE NERE;9.13061727337;45.4629065269;(45.4629065269, 9.13061727337)
1415;1208;Martinengo, 34/2 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;  34/2;;;35;LODI - CORVETTO;;;
1415;1209;Oglio, 23 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via OGLIO 23;4105;4;35;LODI - CORVETTO;9.21829658569;45.4400743967;(45.4400743967, 9.21829658569)
1415;1211;Oglio, 25 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via OGLIO 25;4105;4;35;LODI - CORVETTO;9.21774719582;45.4398043793;(45.4398043793, 9.21774719582)
1415;1212;Osimo, 4 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via AUGUSTO OSIMO 4;4303;4;35;LODI - CORVETTO;9.22574464617;45.4345315923;(45.4345315923, 9.22574464617)
1415;1213;Dei Guarneri, 19 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via DEI GUARNERI 19;4300;5;38;VIGENTINO - Q.RE FATIMA;9.2046062904;45.426434057;(45.426434057, 9.2046062904)
1415;1216;SAN VINCENZO REGINA MUNDI;Scuola dell'infanzia;Ente religioso;SI;Via CARLO BONCOMPAGNI 18;4182;4;35;LODI - CORVETTO;9.22687787269;45.440082459;(45.440082459, 9.22687787269)
1415;1217;Solaroli;Scuola dell'infanzia;Statale;No;Via PAOLO SOLAROLI 9;4254;5;38;VIGENTINO - Q.RE FATIMA;9.19879770293;45.4364309346;(45.4364309346, 9.19879770293)
1415;1218;Sulmona, Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via SULMONA 9;4180;4;35;LODI - CORVETTO;9.22586153765;45.4446140257;(45.4446140257, 9.22586153765)
1415;1219;Val Di Sole, 9/A Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via VAL DI SOLE 9;4295;5;38;VIGENTINO - Q.RE FATIMA;9.20409691509;45.4321564536;(45.4321564536, 9.20409691509)
