ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;2055;GIORDANO OTTOLINI - CRISTINA BELGIOIOSO;Scuola primaria;Statale;No;Via PIETRO COLLETTA 49;4078;4;28;UMBRIA - MOLISE - CALVAIRATE;9.21178950957;45.4489120769;(45.4489120769, 9.21178950957)
1415;2056;SUORE MANTELLATE;Scuola primaria;Ente religioso;SI;Via GIORGIO VASARI 16;4070;4;27;PTA ROMANA;9.20690893119;45.4534997059;(45.4534997059, 9.20690893119)
1415;2057;PIETRO THOUAR - LUIGI GONZAGA;Scuola primaria;Statale;No;Via VINCENZO BRUNACCI 2;5241;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17735926674;45.4446723811;(45.4446723811, 9.17735926674)
1415;2058;Foppette;Scuola primaria;Statale;No;Via DELLE FOPPETTE 1;5143;6;50;PORTA GENOVA;9.1559491167;45.451292855;(45.451292855, 9.1559491167)
1415;2059;GIOVANNA OBERDAN PORZI;Scuola primaria;Statale;No;Via BERGOGNONE 2;5130;6;50;PORTA GENOVA;9.16166920664;45.4565353767;(45.4565353767, 9.16166920664)
1415;2060;G. Romano;Scuola primaria;Statale;No;Via GIULIO ROMANO 2;4057;5;27;PTA ROMANA;9.19859287985;45.4485009318;(45.4485009318, 9.19859287985)
1415;2061;F. CONFORTI - B. AVOGADRO;Scuola primaria;Statale;No;Via VIGEVANO 19;5116;6;44;PORTA TICINESE - CONCHETTA;9.17352197107;45.4528594139;(45.4528594139, 9.17352197107)
1415;2063;IACOPO BAROZZI;Scuola primaria;Statale;No;Via FERDINANDO BOCCONI 17;4050;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.19076160885;45.4490804747;(45.4490804747, 9.19076160885)
1415;2064;GIUSEPPE PIOLTI DE BIANCHI - GASPARA STAMPA;Scuola primaria;Statale;No;Via GENTILINO 14;5204;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.1824283467;45.4490886806;(45.4490886806, 9.1824283467)
1415;2065;NOVARO - FERRUCCI;Scuola primaria;Statale;No;Piazza SICILIA 2;6266;7;51;PORTA MAGENTA;9.15305386271;45.4648326303;(45.4648326303, 9.15305386271)
1415;2066;IMMACOLATA CONCEZIONE;Scuola primaria;Ente religioso;SI;Via ELBA 18;6243;7;51;PORTA MAGENTA;9.15672412024;45.4640894633;(45.4640894633, 9.15672412024)
1415;2067;ISTITUTO SAN PAOLO DELLE SUORE ANGELICHE;Scuola primaria;Ente religioso;SI;Via MICHELANGELO BUONARROTI 49;6253;8;58;DE ANGELI - MONTE ROSA;9.15516160681;45.4726824049;(45.4726824049, 9.15516160681)
1415;2069;PIETRO MOSCATI - BIANCA MARIA SFORZA;Scuola primaria;Statale;No;Via PIETRO MOSCATI 1;7136;8;69;SARPI;9.16898924013;45.4789973542;(45.4789973542, 9.16898924013)
