Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
15-T028;75009;21 RUE DE CHATEAUDUN;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.338470000024675, 48.87588599968053], ""type"": ""Point""}";48.87588599968053,2.338470000024675
15-T049;75012;114 RUE DE REUILLY;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3944590002514854, 48.84036300008014], ""type"": ""Point""}";48.84036300008014,2.3944590002514854
15-T065;75014;72 BOULEVARD EDGAR QUINET;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3233590002554587, 48.84189299974893], ""type"": ""Point""}";48.84189299974893,2.3233590002554587
15-T074;75015;133 BOULEVARD DE GRENELLE;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.3005755001577284, 48.848462999591504], ""type"": ""Point""}";48.848462999591504,2.3005755001577284
15-T091;75018;142 RUE MARCADET;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3389065006721506, 48.891338999696934], ""type"": ""Point""}";48.891338999696934,2.3389065006721506
15-T101;75020;136 RUE DE BAGNOLET;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.405429999695757, 48.86118900036366], ""type"": ""Point""}";48.86118900036366,2.405429999695757
15-T107;75020;135 RUE DES PYRENEES;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.403351000353229, 48.857966999906346], ""type"": ""Point""}";48.857966999906346,2.403351000353229
18-T026;75011;174 RUE DE LA ROQUETTE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3864310005968026, 48.85914600035996], ""type"": ""Point""}";48.85914600035996,2.3864310005968026
18-T040;75013;119 RUE DE LA GLACIERE;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.342223000007512, 48.827078999601305], ""type"": ""Point""}";48.827078999601305,2.342223000007512
18-T051;75004;27 RUE DES ARCHIVES;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.355759000665619, 48.859127999563874], ""type"": ""Point""}";48.859127999563874,2.355759000665619
18-T068;75015;53 RUE DE DANTZIG;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.2963365002162353, 48.83059800000451], ""type"": ""Point""}";48.83059800000451,2.2963365002162353
18-T071;75015;148 AVENUE EMILE ZOLA;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2947165002983714, 48.84688800022399], ""type"": ""Point""}";48.84688800022399,2.2947165002983714
18-T105;75017;2 RUE GOUNOD;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3009895006648486, 48.88273500003321], ""type"": ""Point""}";48.88273500003321,2.3009895006648486
18-T108;75018;43 RUE POTEAU;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.3410574993323165, 48.894452999828594], ""type"": ""Point""}";48.894452999828594,2.3410574993323165
18-T109;75018;46 RUE CUSTINE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.345372999807729, 48.88923300041586], ""type"": ""Point""}";48.88923300041586,2.345372999807729
18-T115;75018;34 RUE MONCALM;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.33810549957827, 48.89320200014099], ""type"": ""Point""}";48.89320200014099,2.33810549957827
E-012;75005;38 RUE LACEPEDE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.350791000617761, 48.84419699968165], ""type"": ""Point""}";48.84419699968165,2.350791000617761
E-018;75007;20 RUE COGNAC JAY;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.302902000617385, 48.86194500021966], ""type"": ""Point""}";48.86194500021966,2.302902000617385
E-044;75011;157 RUE SAINT MAUR;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.3744474998296403, 48.86871299982415], ""type"": ""Point""}";48.86871299982415,2.3744474998296403
E-120;75018;29 RUE DOUDEAUVILLE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.3555880002351537, 48.88858500036979], ""type"": ""Point""}";48.88858500036979,2.3555880002351537
E-139;75020;169 AVENUE GAMBETTA;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.40351300027331, 48.87090900007966], ""type"": ""Point""}";48.87090900007966,2.40351300027331
U-007;75004;1 RUE DES NONAINS D HYERES;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.3579685005757907, 48.85372800036082], ""type"": ""Point""}";48.85372800036082,2.3579685005757907
U-035;75015;18 RUE BALARD;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.277062999722203, 48.844377000301556], ""type"": ""Point""}";48.844377000301556,2.277062999722203
U-036;75016;13 AVENUE DE LA GRANDE ARMEE;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.2913415006595486, 48.87458999957177], ""type"": ""Point""}";48.87458999957177,2.2913415006595486
15-T032;75009;6 RUE PAUL ESCUDIER;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.332349999441256, 48.88044000023118], ""type"": ""Point""}";48.88044000023118,2.332349999441256
15-T057;75013;50 BOULEVARD AUGUSTE BLANQUI;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3497784998786146, 48.829932000309654], ""type"": ""Point""}";48.829932000309654,2.3497784998786146
15-T060;75013;54 AVENUE D IVRY;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.364840000147653, 48.82393800044758], ""type"": ""Point""}";48.82393800044758,2.364840000147653
15-T078;75016;99 AVENUE MOZART;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.2678785005210975, 48.85165799961085], ""type"": ""Point""}";48.85165799961085,2.2678785005210975
15-T086;75017;109 BOULEVARD PEREIRE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.29954050055622, 48.885804000176456], ""type"": ""Point""}";48.885804000176456,2.29954050055622
18-T004;75003;67 RUE DES ARCHIVES;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.359426500269428, 48.86244000037266], ""type"": ""Point""}";48.86244000037266,2.359426500269428
18-T020;75010;27 RUE DES RECOLLETS;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3601419997971664, 48.87486899959685], ""type"": ""Point""}";48.87486899959685,2.3601419997971664
18-T077;75016;60 AVENUE VICTOR HUGO;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.2868717788814052, 48.870454978879344], ""type"": ""Point""}";48.870454978879344,2.2868717788814052
18-T087;75016;14 RUE DE REMUSAT;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.271356999632049, 48.84813899997659], ""type"": ""Point""}";48.84813899997659,2.271356999632049
18-T110;75018;100 RUE DUHESNE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3466690002136463, 48.89600999999123], ""type"": ""Point""}";48.89600999999123,2.3466690002136463
