id_amat;id_via;num_civico;municipio;stato;categorieveicoli;numero_manufatti;stalli_per_manufatto;stalli_totali;tipomanufatto;ubicazione;LONG_X_4326;LAT_Y_4326;Location
587;647;27;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.17050300148134;45.4631619533983;"(45.4631619533983, 9.17050300148134)"
588;647;27;1;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.1703614765789;45.4630219695971;"(45.4630219695971, 9.1703614765789)"
589;5098;30;1;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.17420114971939;45.4584314542885;"(45.4584314542885, 9.17420114971939)"
590;4166;;4;Esistente;Velocipedi;2;5;10;Verona;Alla quota della carreggiata;9.21318569275993;45.4460141054308;"(45.4460141054308, 9.21318569275993)"
591;2183;3;3;Esistente;Velocipedi;1;11;11;Verona;Marciapiede;9.20815296965036;45.4765266538923;"(45.4765266538923, 9.20815296965036)"
592;2183;3;3;Esistente;Velocipedi;1;10;10;Verona;Marciapiede;9.2081761256323;45.4764298050166;"(45.4764298050166, 9.2081761256323)"
593;2183;3;3;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.20820113010096;45.476504852459;"(45.476504852459, 9.20820113010096)"
594;6441;30;8;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.13418061572968;45.4871976673593;"(45.4871976673593, 9.13418061572968)"
595;6441;2;8;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.13743300589782;45.4862683692544;"(45.4862683692544, 9.13743300589782)"
596;6441;2;8;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.13748021725031;45.4862587422351;"(45.4862587422351, 9.13748021725031)"
597;6441;2;8;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.1372132606299;45.4857637633372;"(45.4857637633372, 9.1372132606299)"
598;5315;12;5;Esistente;Velocipedi;4;5;20;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.17325305009968;45.4250355520048;"(45.4250355520048, 9.17325305009968)"
599;6779;1;7;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.09511788488823;45.460221667273;"(45.460221667273, 9.09511788488823)"
600;4359;3;5;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area verde – Giardino – Parco;9.17965695114965;45.4153467558206;"(45.4153467558206, 9.17965695114965)"
601;6283;11;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.15331635106419;45.4687543475167;"(45.4687543475167, 9.15331635106419)"
602;5432;36;5;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.17252505017277;45.4057931262511;"(45.4057931262511, 9.17252505017277)"
603;7352;19;8;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.14401734521006;45.5181861535939;"(45.5181861535939, 9.14401734521006)"
604;5122;30;6;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.16542071691738;45.4549689190152;"(45.4549689190152, 9.16542071691738)"
605;1086;15;5;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.17921593971253;45.5101760619131;"(45.5101760619131, 9.17921593971253)"
606;7137;55;1;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.16281943935466;45.4824110434819;"(45.4824110434819, 9.16281943935466)"
607;2111;10;3;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.20437628713864;45.4785384437362;"(45.4785384437362, 9.20437628713864)"
608;2111;8;3;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.2042189512241;45.4783627312367;"(45.4783627312367, 9.2042189512241)"
609;5111;22;6;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.16196802571724;45.455057111707;"(45.455057111707, 9.16196802571724)"
610;5111;40;6;Esistente;Velocipedi;2;5;10;0_Non precisato;Cortile o altro spazio collegato al civico;9.15979660741548;45.4545632682466;"(45.4545632682466, 9.15979660741548)"
611;1028;50;1;Esistente;Velocipedi;2;5;10;Redondo Inox;Cortile o altro spazio collegato al civico;9.18914177208206;45.4794124825274;"(45.4794124825274, 9.18914177208206)"
613;1029;18;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.18485169101481;45.4775043996863;"(45.4775043996863, 9.18485169101481)"
614;1704;;9;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.18746307451649;45.4838936948892;"(45.4838936948892, 9.18746307451649)"
615;1704;;9;Esistente;Velocipedi;5;5;25;Verona;Marciapiede;9.18713287067482;45.4839544875061;"(45.4839544875061, 9.18713287067482)"
616;2109;13;3;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.20598316148606;45.4772809839407;"(45.4772809839407, 9.20598316148606)"
617;3235;12;3;Esistente;Velocipedi;3;6;18;Verona;Cortile o altro spazio collegato al civico;9.23676613420306;45.4727155289739;"(45.4727155289739, 9.23676613420306)"
618;2118;1;2;Esistente;Velocipedi;6;1;6;Verona;Marciapiede;9.20075799303006;45.479660282338;"(45.479660282338, 9.20075799303006)"
619;2550;46;3;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.23001340665277;45.485632424325;"(45.485632424325, 9.23001340665277)"
620;4055;10;5;Esistente;Velocipedi;2;5;10;Redondo Inox;Cortile o altro spazio collegato al civico;9.19322658165387;45.4496208799077;"(45.4496208799077, 9.19322658165387)"
621;1441;184;9;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.20476863167586;45.5144773009774;"(45.5144773009774, 9.20476863167586)"
622;1441;325;9;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.21175281590881;45.5268046463475;"(45.5268046463475, 9.21175281590881)"
623;5133;17;6;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15087115368165;45.4511627056321;"(45.4511627056321, 9.15087115368165)"
624;2344;5;2;Esistente;Velocipedi;2;5;10;Verona;Alla quota della carreggiata;9.21462513474536;45.5117599616337;"(45.5117599616337, 9.21462513474536)"
