linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
70;BUS;9216;Di;Ceresio - Q.re Bruzzano;Barrato;6.57;22;9.17803634223162;45.5100298665915;"(45.5100298665915, 9.17803634223162)"
70;BUS;9217;Di;Ceresio - Cim . Bruzzano;Canonico;6.42;19;9.1787260478375;45.509368219817;"(45.509368219817, 9.1787260478375)"
700;BUS;10401;Di;Sesto Cimitero - Sesto 1 Maggio;Canonico;9.44;28;9.23864194106873;45.5344719086953;"(45.5344719086953, 9.23864194106873)"
700;BUS;8599;As;Sesto 1 Maggio - Sesto Cimitero;Canonico;10.32;31;9.23875576370861;45.5341943763509;"(45.5341943763509, 9.23875576370861)"
701;BUS;10097;As;Cologno M.se (toti) - Cologno Nord M2;Barrato;4.37;13;9.27849331129302;45.537888934625;"(45.537888934625, 9.27849331129302)"
701;BUS;7181;Di;Cologno Nord M2 - Cologno S. Maurizio (toti);Barrato;4.37;14;9.27951350011912;45.5378146760324;"(45.5378146760324, 9.27951350011912)"
701;BUS;7275;As;Sesto S. G. (4 Novembre) - Cologno Sud M2;Canonico;9.32;28;9.26083309986243;45.5396029135214;"(45.5396029135214, 9.26083309986243)"
701;BUS;7277;Di;Cologno Sud M2 - Sesto S. G. (4 Novembre);Canonico;10.01;28;9.26175152236025;45.5385521025817;"(45.5385521025817, 9.26175152236025)"
702;BUS;9982;As;Cologno Nord M2 - Cinisello Sant' Eusebio;Canonico;16.66;42;9.24057265079667;45.5433276787851;"(45.5433276787851, 9.24057265079667)"
702;BUS;9984;Di;Cinisello Sant'Eusebio - Cologno Nord M2;Canonico;13.97;36;9.24072462917077;45.5418714547693;"(45.5418714547693, 9.24072462917077)"
705;BUS;5650;As;Cormano - Comasina M3;Canonico;6.43;12;9.16397688755622;45.5431394594078;"(45.5431394594078, 9.16397688755622)"
705;BUS;5702;As;Cormano - Comasina M3 (trans. in Litta Modignani);Barrato;7.63;16;9.16405219884013;45.5403347294319;"(45.5403347294319, 9.16405219884013)"
705;BUS;5785;As;Cormano - Comasina M3;Barrato;5.94;11;9.1639930637858;45.5442697636128;"(45.5442697636128, 9.1639930637858)"
705;BUS;5799;Di;Comasina M3 - Cormano;Canonico;4.93;12;9.1643362756615;45.5436753611169;"(45.5436753611169, 9.1643362756615)"
707;BUS;11608;As;Cologno Nord M2 - Cologno ( Via Giordano);Canonico;9.24;24;9.28415369337803;45.5315353620608;"(45.5315353620608, 9.28415369337803)"
707;BUS;6844;Di;Cologno ( Via Giordano) - Cologno Nord M2;Canonico;9.65;24;9.28533597949185;45.5320352498936;"(45.5320352498936, 9.28533597949185)"
708;BUS;10386;Di;Sesto Rond M1 - Niguarda ( Parco Nord );Canonico;7.87;19;9.20135266192524;45.5345108897123;"(45.5345108897123, 9.20135266192524)"
708;BUS;10389;Di;Sesto Rond M1 - Bresso (Don Minzoni);Barrato;4.69;11;9.20876531012505;45.5352923567894;"(45.5352923567894, 9.20876531012505)"
708;BUS;9779;As;Niguarda (Parco Nord) - Sesto Rond M1;Canonico;8.92;25;9.20194936523321;45.534162817096;"(45.534162817096, 9.20194936523321)"
708;BUS;9825;As;Bresso (Don Minzoni) - Sesto Rondo M1;Barrato;5.94;16;9.20818021342476;45.5345975949942;"(45.5345975949942, 9.20818021342476)"
709;BUS;6567;As;Cologno Sud M2 - Cologno ( Don Minzoni );Canonico;5.34;12;9.26848158375904;45.5285428937711;"(45.5285428937711, 9.26848158375904)"
