_id;anno_rilevamento_reato;Reati_denunciati_tipologia;reati_denunciati
350;2014;Sequestri di persona ;49
351;2014;Ingiurie ;1294
352;2014;Violenze sessuali ;244
353;2014;Atti sessuali con minorenne ;19
354;2014;Corruzione di minorenne ;5
355;2014;Sfruttamento e favoreggiamento della prostituzione;30
356;2014;Pornografia minorile e detenzione di materiale pedopornografico;24
357;2014;Furti;104287
358;2014;furti con strappo;1872
359;2014;Furti  con destrezza;23579
360;2014;Furti  in abitazioni;9426
361;2014;Furti  in esercizi commerciali;7774
362;2014;Furti  in auto in sosta;15786
363;2014;Furti  di opere d'arte e materiale archeologico;18
364;2014;Furti di automezzi pesanti trasportanti merci;21
365;2014;Furti di ciclomotori;1120
366;2014;Furti di motocicli;3698
367;2014;Furti di autovetture;6803
368;2014;Rapine totale;3340
369;2014;Rapine in abitazione;171
370;2014;Rapine in banca;33
371;2014;Rapine in uffici postali;17
372;2014;Rapine in esercizi commerciali;439
373;2014;Rapine in pubblica via;2072
374;2014;Estorsioni ;334
375;2014;Truffe e frodi informatiche ;5151
376;2014;Delitti informatici;694
377;2014;Contraffazione di marchi e prodotti industriali;301
378;2014;Violazione della proprieta' intellettuale;14
379;2014;Ricettazione ;1130
380;2014;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;25
381;2014;Usura ;10
382;2014;Danneggiamenti ;18004
383;2014;Incendi totale;123
384;2014;Incendi boschivi;0
385;2014;Danneggiamento seguito da incendio ;95
386;2014;Normativa sugli stupefacenti ;1345
387;2014;Attentati ;6
388;2014;Associazione per delinquere ;21
389;2014;Associazione di tipo mafioso ;0
390;2014;Contrabbando;11
391;2014;Altri delitti;20386
392;2014;Reati totale;162177
393;2013;Strage ;0
394;2013;Omicidi volontari totale;13
395;2013;Omicidi a scopo di furto o rapina;2
396;2013;Omicidi di tipo mafioso;0
397;2013;Omicidi a scopo terroristico;0
398;2013;Tentati omicidi ;38
399;2013;Infanticidi;0
400;2013;Omicidi preterintenzionali ;3
401;2013;Omicidi colposi totale;42
402;2013;Omicidi colposi  da incidente stradale;26
403;2013;Percosse ;570
404;2013;Lesioni dolose ;2452
405;2013;Minacce ;2217
406;2013;Sequestri di persona ;51
407;2013;Ingiurie ;1311
408;2013;Violenze sessuali ;304
409;2013;Atti sessuali con minorenne ;18
410;2013;Corruzione di minorenne ;5
411;2013;Sfruttamento e favoreggiamento della prostituzione;38
412;2013;Pornografia minorile e detenzione di materiale pedopornografico;17
413;2013;Furti;99195
414;2013;furti con strappo;1547
415;2013;Furti  con destrezza;22370
416;2013;Furti  in abitazioni;9221
417;2013;Furti  in esercizi commerciali;6753
418;2013;Furti  in auto in sosta;14456
419;2013;Furti  di opere d'arte e materiale archeologico;17
420;2013;Furti di automezzi pesanti trasportanti merci;25
421;2013;Furti di ciclomotori;1198
422;2013;Furti di motocicli;3445
423;2013;Furti di autovetture;7060
424;2013;Rapine totale;3536
425;2013;Rapine in abitazione;236
426;2013;Rapine in banca;73
427;2013;Rapine in uffici postali;16
428;2013;Rapine in esercizi commerciali;440
429;2013;Rapine in pubblica via;2107
430;2013;Estorsioni ;247
431;2013;Truffe e frodi informatiche ;5089
432;2013;Delitti informatici;508
433;2013;Contraffazione di marchi e prodotti industriali;278
434;2013;Violazione della proprieta' intellettuale;32
435;2013;Ricettazione ;1319
436;2013;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;35
437;2013;Usura ;13
438;2013;Danneggiamenti ;19607
439;2013;Incendi totale;114
440;2013;Incendi boschivi;0
441;2013;Danneggiamento seguito da incendio ;92
442;2013;Normativa sugli stupefacenti ;1485
443;2013;Attentati ;17
444;2013;Associazione per delinquere ;26
445;2013;Associazione di tipo mafioso ;0
446;2013;Contrabbando;2
447;2013;Altri delitti;22195
448;2013;Reati totale;160869
449;2012;Strage ;0
450;2012;Omicidi volontari totale;16
451;2012;Omicidi a scopo di furto o rapina;0
452;2012;Omicidi di tipo mafioso;0
453;2012;Omicidi a scopo terroristico;0
454;2012;Tentati omicidi ;45
455;2012;Infanticidi;1
456;2012;Omicidi preterintenzionali ;2
457;2012;Omicidi colposi totale;45
458;2012;Omicidi colposi  da incidente stradale;41
459;2012;Percosse ;570
460;2012;Lesioni dolose ;2617
461;2012;Minacce ;2207
462;2012;Sequestri di persona ;64
463;2012;Ingiurie ;1383
464;2012;Violenze sessuali ;323
465;2012;Atti sessuali con minorenne ;19
466;2012;Corruzione di minorenne ;1
467;2012;Sfruttamento e favoreggiamento della prostituzione;51
468;2012;Pornografia minorile e detenzione di materiale pedopornografico;14
469;2012;Furti;101336
470;2012;furti con strappo;1524
471;2012;Furti  con destrezza;21541
472;2012;Furti  in abitazioni;8092
473;2012;Furti  in esercizi commerciali;6919
474;2012;Furti  in auto in sosta;15437
475;2012;Furti  di opere d'arte e materiale archeologico;23
476;2012;Furti di automezzi pesanti trasportanti merci;48
477;2012;Furti di ciclomotori;1578
478;2012;Furti di motocicli;4223
479;2012;Furti di autovetture;7489
480;2012;Rapine totale;3390
481;2012;Rapine in abitazione;173
482;2012;Rapine in banca;42
483;2012;Rapine in uffici postali;10
484;2012;Rapine in esercizi commerciali;462
485;2012;Rapine in pubblica via;2060
486;2012;Estorsioni ;212
487;2012;Truffe e frodi informatiche ;4712
488;2012;Delitti informatici;320
489;2012;Contraffazione di marchi e prodotti industriali;340
490;2012;Violazione della proprieta' intellettuale;22
491;2012;Ricettazione ;1379
492;2012;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;43
493;2012;Usura ;13
494;2012;Danneggiamenti ;20422
495;2012;Incendi totale;129
496;2012;Incendi boschivi;0
497;2012;Danneggiamento seguito da incendio ;128
498;2012;Normativa sugli stupefacenti ;1560
499;2012;Attentati ;51
500;2012;Associazione per delinquere ;19
501;2012;Associazione di tipo mafioso ;0
502;2012;Contrabbando;8
503;2012;Altri delitti;19442
504;2012;Reati totale;160884
505;2011;Strage ;1
506;2011;Omicidi volontari totale;14
507;2011;Omicidi a scopo di furto o rapina;2
508;2011;Omicidi di tipo mafioso;0
509;2011;Omicidi a scopo terroristico;0
510;2011;Tentati omicidi ;54
511;2011;Infanticidi;0
512;2011;Omicidi preterintenzionali ;2
513;2011;Omicidi colposi totale;38
514;2011;Omicidi colposi  da incidente stradale;30
515;2011;Percosse ;587
516;2011;Lesioni dolose ;2621
517;2011;Minacce ;2295
518;2011;Sequestri di persona ;46
519;2011;Ingiurie ;1475
520;2011;Violenze sessuali ;273
521;2011;Atti sessuali con minorenne ;22
522;2011;Corruzione di minorenne ;6
523;2011;Sfruttamento e favoreggiamento della prostituzione;71
524;2011;Pornografia minorile e detenzione di materiale pedopornografico;17
525;2011;Furti;102006
526;2011;furti con strappo;1142
527;2011;Furti  con destrezza;20544
528;2011;Furti  in abitazioni;7270
529;2011;Furti  in esercizi commerciali;6107
530;2011;Furti  in auto in sosta;18043
531;2011;Furti  di opere d'arte e materiale archeologico;16
532;2011;Furti di automezzi pesanti trasportanti merci;45
533;2011;Furti di ciclomotori;1694
534;2011;Furti di motocicli;4485
535;2011;Furti di autovetture;8421
536;2011;Rapine totale;3070
537;2011;Rapine in abitazione;96
538;2011;Rapine in banca;55
539;2011;Rapine in uffici postali;14
540;2011;Rapine in esercizi commerciali;324
541;2011;Rapine in pubblica via;1864
542;2011;Estorsioni ;220
543;2011;Truffe e frodi informatiche ;3809
544;2011;Delitti informatici;328
545;2011;Contraffazione di marchi e prodotti industriali;258
546;2011;Violazione della proprieta' intellettuale;39
547;2011;Ricettazione ;1207
548;2011;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;47
549;2011;Usura ;8
550;2011;Danneggiamenti ;24204
551;2011;Incendi totale;163
552;2011;Incendi boschivi;0
553;2011;Danneggiamento seguito da incendio ;120
554;2011;Normativa sugli stupefacenti ;1546
555;2011;Attentati ;24
556;2011;Associazione per delinquere ;27
557;2011;Associazione di tipo mafioso ;0
558;2011;Contrabbando;3
559;2011;Altri delitti;19968
560;2011;Reati totale;164569
561;2010;Strage ;1
562;2010;Omicidi volontari totale;16
563;2010;Omicidi a scopo di furto o rapina;0
564;2010;Omicidi di tipo mafioso;0
565;2010;Omicidi a scopo terroristico;0
566;2010;Tentati omicidi ;36
567;2010;Infanticidi;0
568;2010;Omicidi preterintenzionali ;2
569;2010;Omicidi colposi totale;39
570;2010;Omicidi colposi  da incidente stradale;29
571;2010;Percosse ;533
572;2010;Lesioni dolose ;2678
573;2010;Minacce ;2245
574;2010;Sequestri di persona ;49
575;2010;Ingiurie ;1398
576;2010;Violenze sessuali ;253
577;2010;Atti sessuali con minorenne ;17
578;2010;Corruzione di minorenne ;4
579;2010;Sfruttamento e favoreggiamento della prostituzione;49
580;2010;Pornografia minorile e detenzione di materiale pedopornografico;34
581;2010;Furti;88612
582;2010;furti con strappo;1008
