id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
933;MONTENAPOLEONE;3;9.19284790788138;45.4700055010376;"(45.4700055010376, 9.19284790788138)"
934;MOLINO DORINO;1;9.09296610792641;45.5052116010418;"(45.5052116010418, 9.09296610792641)"
935;MISSORI;3;9.18902710788161;45.4601086010388;"(45.4601086010388, 9.18902710788161)"
936;MARCHE;5;9.19482360788406;45.4961456010352;"(45.4961456010352, 9.19482360788406)"
937;MACIACHINI;3;9.18504250788822;45.4977017010357;"(45.4977017010357, 9.18504250788822)"
938;LOTTO M5;5;9.14366872151747;45.4797818727979;"(45.4797818727979, 9.14366872151747)"
939;LOTTO FIERAMILANOCITY;1;9.14374880790243;45.4791454010404;"(45.4791454010404, 9.14374880790243)"
940;LORETO M2;2;9.21516600787431;45.4845943010347;"(45.4845943010347, 9.21516600787431)"
941;LORETO M1;1;9.21698157836923;45.486240110993;"(45.486240110993, 9.21698157836923)"
942;LODI T.I.B.B.;3;9.21081640787104;45.4467636010384;"(45.4467636010384, 9.21081640787104)"
943;LIMA;1;9.21098270787544;45.4803459010354;"(45.4803459010354, 9.21098270787544)"
944;LANZA;2;9.18254810788584;45.4722295010382;"(45.4722295010382, 9.18254810788584)"
945;LAMPUGNANO;1;9.12731920791043;45.4894017010406;"(45.4894017010406, 9.12731920791043)"
946;LAMBRATE FS;2;9.23482980786632;45.4842475010334;"(45.4842475010334, 9.23482980786632)"
947;ISTRIA;5;9.19792000788354;45.5016262010345;"(45.5016262010345, 9.19792000788354)"
948;ISOLA;5;9.19126340788437;45.4876083010362;"(45.4876083010362, 9.19126340788437)"
949;INGANNI;1;9.12226290790824;45.4575630010439;"(45.4575630010439, 9.12226290790824)"
951;GORLA;1;9.2227388078742;45.5067343010322;"(45.5067343010322, 9.2227388078742)"
952;GORGONZOLA;2;9.4034541078052;45.5367410010166;"(45.5367410010166, 9.4034541078052)"
953;GIOIA;2;9.19485740788256;45.4848999010362;"(45.4848999010362, 9.19485740788256)"
954;GESSATE;2;9.43662513013157;45.5452872312833;"(45.5452872312833, 9.43662513013157)"
955;GERUSALEMME;5;9.16677778724865;45.4845217522137;"(45.4845217522137, 9.16677778724865)"
956;GARIBALDI FS;"2,5";9.18674240788567;45.4836397010369;"(45.4836397010369, 9.18674240788567)"
957;GAMBARA;1;9.14302800790082;45.4648963010417;"(45.4648963010417, 9.14302800790082)"
