_id;Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
8241;PE/28317;VIA GIOIA MELCHIORRE N. 53 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA GIOIA MELCHIORRE;53;1108;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;80;20124;11;ISOLA;2;9,19861E+11;4,54878E+11;45.4877561201 / 9.19861096198
8242;PE/28549;VIA MONTE BIANCO N. 44;SOMMINISTRAZIONE - In piano;VIA MONTE BIANCO;44;6392;a - Ristorante, trattoria, osteria con cucina e simili;;26;20149;58;DE ANGELI - MONTE ROSA;8;9,14709E+11;4,54776E+11;45.4775992552 / 9.14709397671
8243;PE/28554;VIA PASCOLI GIOVANNI N. 56 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA PASCOLI GIOVANNI;56;3132;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;4;20133;22;CITTA' STUDI;3;9,22417E+11;4,54761E+11;45.4761088132 / 9.22416585242
8244;PE/28555;PIAZZA AULENTI GAE N. 1 (z.d. 1);SOMMINISTRAZIONE - In piano;PIAZZA AULENTI GAE;1;1785;c - Tavole calde,self service, fast food e simili;;77;20154;9;GARIBALDI REPUBBLICA;9;9,18925E+11;4,54839E+11;45.4838533522 / 9.18925350874
8245;PE/27873;VIA BAMBAIA N. 10 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA BAMBAIA;10;2278;f - Bar caffè e simili|a - Ristorante, trattoria, osteria con cucina e simili;;39;20131;20;LORETO;2;9,21874E+11;4,54874E+11;45.4874078607 / 9.21873795349
8246;PE/27942;Via RIPAMONTI GIUSEPPE N. 150 (z.d. 5);SOMMINISTRAZIONE - In piano;Via RIPAMONTI GIUSEPPE;150;4066;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;26;20141;37;Ex OM - MORIVIONE;5;9,20034E+11;4,54366E+11;45.4365743537 / 9.20034123675
8247;PE/27944;Via BASSINI EDOARDO N. 49 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BASSINI EDOARDO;49;2587;d - Pizzerie e simili;;38;20133;22;CITTA' STUDI;3;9,23692E+11;4,54816E+11;45.4816231009 / 9.23691896625
8248;PE/27945;Via PARMIGIANINO N. 11 (z.d. 7);SOMMINISTRAZIONE - In piano;Via PARMIGIANINO;11;6599;a - Ristorante, trattoria, osteria con cucina e simili;;17;20146;51;WASHINGTON;7;9,14759E+11;4,54667E+11;45.4667068859 / 9.14759338706
8249;PE/27961;VIA FAUSTINO (SAN) N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA FAUSTINO (SAN);1;703;a - Ristorante, trattoria, osteria con cucina e simili;;48;20121;2;BRERA;1;9,18211E+11;4,54715E+11;45.4714865088 / 9.18210764913
8250;PE/27964;Viale MICHELE DEL CARSO (SAN) N. 19 (z.d. 1);SOMMINISTRAZIONE - In piano;Viale MICHELE DEL CARSO (SAN);19;6212;a - Ristorante, trattoria, osteria con cucina e simili;;79;20123;7;MAGENTA - S. VITTORE;1;9,16427E+11;4,54638E+11;45.4637695127 / 9.16427491435
8251;PE/27874;VIA PEDRONI LISIADE N. 1 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA PEDRONI LISIADE;1;1474;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;121;20161;80;AFFORI;9;9,16773E+11;4,55085E+11;45.5085208628 / 9.16773395689
8252;PE/27894;VIA UGONI CAMILLO N. 18 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA UGONI CAMILLO;18;1282;a - Ristorante, trattoria, osteria con cucina e simili;;289;20158;77;BOVISA;9;9,17078E+11;4,55004E+11;45.5003637642 / 9.17078092983
8253;PE/27897;Via ARCHIMEDE N. 77 (z.d. 4);SOMMINISTRAZIONE - In piano;Via ARCHIMEDE;77;3086;e - Bar gastronomici e simili;;26;20129;26;XXII MARZO;4;9,21643E+11;4,54656E+11;45.4655690518 / 9.21642656887
8254;C-PE/10765;Via IMBRIANI (DEGLI) N. 14| isolato:079| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via IMBRIANI (DEGLI);14;1266;;pizzeria al ristoro;70;20158;77;BOVISA;9;9,17004E+11;4,54983E+11;45.4983015397 / 9.17003939512
8255;PE/28320;VIA PAISIELLO GIOVANNI N. 2 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA PAISIELLO GIOVANNI;2;2245;a - Ristorante, trattoria, osteria con cucina e simili;;40;20131;21;BUENOS AIRES - VENEZIA;3;9,21746E+11;4,54813E+11;45.4813424336 / 9.21745984242
8256;PE/28322;VIA SPALLANZANI LAZZARO N. 6 (z.d. 6);SOMMINISTRAZIONE - In piano;VIA SPALLANZANI LAZZARO;6;2153;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;33;20129;21;BUENOS AIRES - VENEZIA;3;9,20649E+11;4,54753E+11;45.4753436298 / 9.20648618272
8257;PE/28568;VIA MERCATO N. 3 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA MERCATO;3;717;a - Ristorante, trattoria, osteria con cucina e simili;;97;20121;2;BRERA;1;9,18392E+11;4,54715E+11;45.4715080232 / 9.18392132352
8258;PE/28570;VIALE ABRUZZI N. 14N10;SOMMINISTRAZIONE - In piano;VIALE ABRUZZI;;2177;e - Bar gastronomici e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;59;20129;21;BUENOS AIRES - VENEZIA;3;9,21742E+11;4,54756E+11;45.4755857998 / 9.21742244949
8259;PE/28571;VIA PIETRASANTA N. 14 con ingresso da via pompeo leoni n. 5 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA PIETRASANTA;14;4227;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;178;20141;37;Ex OM - MORIVIONE;5;9,19623E+11;4,54439E+11;45.4439084596 / 9.19623447285
8260;PE/28572;VIA MELZO N. 12 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA MELZO;12;2184;a - Ristorante, trattoria, osteria con cucina e simili;;69;20129;21;BUENOS AIRES - VENEZIA;3;9,20963E+11;4,54734E+11;45.4733820488 / 9.20962985556
8261;PE/28573;VIA GARIGLIANO N. 4 (z.d. 4);SOMMINISTRAZIONE - In piano;VIA GARIGLIANO;4;1134;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;42;20159;11;ISOLA;9;9,18959E+14;4,54879E+14;45.4879078552484 / 9.18958690710983
8262;PE/27923;VIA EMANUELE FILIBERTO N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA EMANUELE FILIBERTO;13;7168;f - Bar caffè e simili;;57;20149;67;PORTELLO;8;9,15699E+11;4,54847E+11;45.4846587484 / 9.15698751525
8263;PE/28585;VIA VARANINI LUIGI N. 9 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA VARANINI LUIGI;9;2288;a - Ristorante, trattoria, osteria con cucina e simili;;55;20127;20;LORETO;2;9,21755E+11;4,5493E+11;45.4930263389 / 9.21755140962
8264;PE/28606;VIA PROCACCINI GIULIO CESARE N. 69 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA PROCACCINI GIULIO CESARE;69;7204;c - Tavole calde,self service, fast food e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;57;20154;69;SARPI;8;9,16688E+11;45481041622;45.481041622 / 9.16687560011
8265;PE/28607;VIA TURATI FILIPPO N. 8 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA TURATI FILIPPO;8;1053;e - Bar gastronomici e simili;;46;20121;2;BRERA;1;9,19502E+11;4,5474E+11;45.4740038724 / 9.19501806948
8266;PE/27948;Via FILZI FABIO N. 25 (z.d. 2);SOMMINISTRAZIONE - In piano;Via FILZI FABIO;25;1190;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;122;20124;10;CENTRALE;2;92000950547;4,54844E+11;45.4844461084 / 9.2000950547
8267;PE/27969;VIA SOTTOCORNO PASQUALE N. 1 (z.d. 4);SOMMINISTRAZIONE - In piano;VIA SOTTOCORNO PASQUALE;1;703;a - Ristorante, trattoria, osteria con cucina e simili;;57;20121;2;BRERA;1;9,18211E+11;4,54715E+11;45.4714865088 / 9.18210764913
8268;PE/27970;VIA LOMAZZO PAOLO N. 39 con ingresso via procaccini 30 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA LOMAZZO PAOLO;39;7079;d - Pizzerie e simili;;62;20154;69;SARPI;8;9,17034E+11;4,54838E+11;45.4837945148 / 9.17033681955
8269;PE/27980;VIALE TORELLI LUIGI N. 2 (z.d. 9);SOMMINISTRAZIONE - In piano;VIALE TORELLI LUIGI;2;1232;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;58;20158;78;FARINI;9;9,17217E+11;4,54955E+11;45.4955490715 / 9.17217158709
8270;PE/27985;Via MARGHERITA (SANTA) N. 14 (z.d. 1);SOMMINISTRAZIONE - In piano;Via MARGHERITA (SANTA);14;108;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;28;20121;1;DUOMO;1;9,18867E+11;4,54661E+11;45.4660677344 / 9.18867211045
8271;PE/27987;Viale GIAN GALEAZZO N. 2 (z.d. 5);SOMMINISTRAZIONE - In piano;Viale GIAN GALEAZZO;2;5196;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;51;20136;6;TICINESE;5;9,18151E+11;4,54526E+11;45.4525858893 / 9.18150932076
8272;PE/27988;Via PETROCCHI POLICARPO N. 2 (z.d. 2);SOMMINISTRAZIONE - In piano;Via PETROCCHI POLICARPO;2;2320;f - Bar caffè e simili;;15;20127;19;PADOVA;2;92217695827;4,55021E+11;45.5020636627 / 9.2217695827
